Row Labels,Anatomy,Art,Atmospheric sciences,Biochemical engineering,Biology,Biotechnology,Business,Chemistry,Computer science,Economics,Engineering,Environmental science,Geography,Geology,Hardening (computing),Humanities,Interpretation (philosophy),Marine engineering,Materials science,Mathematics,Mechanics,Medicine,Neuroscience,Nickel,null,Openness to experience,Philosophy,Physics,Political science,Psychology,Sociology,Virology,White (mutation),(blank),Grand Total,
Computer science,,,1,,10,,7,10,171,1,4,9,1,1,1,,1,,15,13,,5,,,31,,,3,2,4,2,,1,,293,58%
Medicine,1,4,,,12,,,5,7,,,,1,,,1,,,2,,,62,1,,8,,,,,3,,,,,107,
Chemistry,,,,1,13,1,5,46,7,,,2,,,,,,,17,,,5,,,6,,,1,,,,,,,104,
Materials science,,,,,,,,13,21,,,6,,1,,,,,43,,,4,,1,3,,,3,,,,,,,95,
Biology,,,,,35,,,9,4,,,2,,,,,,,,,,13,,,5,,1,,,1,,1,,,71,
Physics,,,,,,,,3,9,,,1,,1,,,,,6,6,,1,,,10,,,26,,,,,,,63,
Business,,1,,,1,,20,1,7,1,,4,5,1,,,,,1,1,,2,,,3,1,1,,3,2,,,,,55,
Environmental science,,,,,3,,3,3,5,,3,9,2,,,,,,3,,,,,,2,,,,,,,,,,33,
Mathematics,,,,,,,,,7,,,,,,,,,,1,10,,,,,2,,,2,,,,,,,22,
Psychology,,,,,,,1,,2,,,,,,,,,,,,,4,,,,,1,1,1,7,1,,,,18,
Political science,,,,,,,3,,2,,,,,,,,,,,,,1,,,,,,,3,,,,,,9,
Geology,,,,,,,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,5,
Art,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,4,
Airfoil,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2,
Anesthesia,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,2,
Environmental planning,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,
Food science,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Control (management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
Economics,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Geography,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
Mechanics,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,